EI,LogEI,R,Weight,n_0,n_45,EI_bin,R_bin
2346147167.710418,9.370355250797381,40.0,0.08965389150220252,2,1,"(9.368, 9.383]","(39.902, 41.96]"
2578875901.4443974,9.411430443877123,40.0,0.11361280805183357,2,2,"(9.408, 9.421]","(39.902, 41.96]"
2711084899.8112392,9.433143118075579,42.0,0.09408982032907132,2,1,"(9.421, 9.434]","(41.96, 43.92]"
2815542768.5731215,9.449562128734115,40.0,0.1377119652975209,2,3,"(9.447, 9.459]","(39.902, 41.96]"
2977993401.748664,9.473923731163866,42.0,0.1192174093458378,2,2,"(9.472, 9.485]","(41.96, 43.92]"
3103678419.902709,9.491876716549816,40.0,0.11360526822946497,3,1,"(9.485, 9.497]","(39.902, 41.96]"
3112030340.010914,9.493043822390623,44.0,0.09852574915594009,2,1,"(9.485, 9.497]","(43.92, 45.88]"
3300867380.7649913,9.518628075993758,40.0,0.18633100187706428,2,5,"(9.51, 9.523]","(39.902, 41.96]"
3249214656.482228,9.511778403572217,42.0,0.1444852390586605,2,3,"(9.51, 9.523]","(41.96, 43.92]"
3396215203.8379316,9.53099520185404,40.0,0.11024514639089147,3,1,"(9.523, 9.536]","(39.902, 41.96]"
3416302659.3425145,9.533556339025083,44.0,0.12482201063984198,2,2,"(9.523, 9.536]","(43.92, 45.88]"
3524794758.678508,9.547133834017231,42.0,0.16989330946753944,2,4,"(9.536, 9.548]","(41.96, 43.92]"
3600074820.5451126,9.556311526826235,40.0,0.16194382341689587,3,3,"(9.548, 9.561]","(39.902, 41.96]"
3585337796.014141,9.554530079399594,42.0,0.11920986952346917,3,1,"(9.548, 9.561]","(41.96, 43.92]"
3550677647.7022433,9.550311246174104,46.0,0.10296167798280889,2,1,"(9.548, 9.561]","(45.88, 47.84]"
3647560798.381377,9.562002539546018,40.0,0.13432470009842037,3,2,"(9.561, 9.574]","(39.902, 41.96]"
3725279320.1932254,9.571158841559667,44.0,0.1512585128198001,2,3,"(9.561, 9.574]","(43.92, 45.88]"
3854461603.8531656,9.585963723812345,40.0,0.18632346205469566,3,4,"(9.574, 9.586]","(39.902, 41.96]"
3804780047.362313,9.580329555461946,42.0,0.1954416205724747,2,5,"(9.574, 9.586]","(41.96, 43.92]"
3874631270.4482236,9.588230379144486,40.0,0.13769688565278365,4,1,"(9.586, 9.599]","(39.902, 41.96]"
3923059925.7740397,9.593624942142846,42.0,0.115686384866909,3,1,"(9.586, 9.599]","(41.96, 43.92]"
3895639244.6318965,9.590578732262056,46.0,0.13042661193384616,2,2,"(9.586, 9.599]","(45.88, 47.84]"
4039008453.548213,9.606274762138916,44.0,0.17783525569581446,2,4,"(9.599, 9.612]","(43.92, 45.88]"
4028720982.2780294,9.60516719043304,48.0,0.10739760680967768,2,1,"(9.599, 9.612]","(47.84, 49.8]"
4164920201.5106864,9.619606684884326,40.0,0.13431339036486745,4,1,"(9.612, 9.625]","(39.902, 41.96]"
4210447255.6493325,9.624328231309187,42.0,0.14093461104157332,3,2,"(9.612, 9.625]","(41.96, 43.92]"
4114418024.4572835,9.61430841387603,44.0,0.12481447081747336,3,1,"(9.612, 9.625]","(43.92, 45.88]"
4245713741.1252103,9.627950709368214,46.0,0.15803178658093966,2,3,"(9.625, 9.637]","(45.88, 47.84]"
4461782134.090539,9.649508360149454,40.0,0.1309369322444953,4,1,"(9.637, 9.65]","(39.902, 41.96]"
4443833581.89696,9.647757786583606,42.0,0.19543408075010604,3,4,"(9.637, 9.65]","(41.96, 43.92]"
4434858762.898565,9.646879793396492,44.0,0.15125097299743145,3,2,"(9.637, 9.65]","(43.92, 45.88]"
4417838728.022761,9.645209858025192,48.0,0.13603121322785036,2,2,"(9.637, 9.65]","(47.84, 49.8]"
4474353758.696114,9.65073031802078,42.0,0.14447015941392327,4,1,"(9.65, 9.663]","(41.96, 43.92]"
4501754086.301431,9.6533817674572,44.0,0.12112762334292652,3,1,"(9.65, 9.663]","(43.92, 45.88]"
4547854503.131073,9.65780656210671,50.0,0.11183353563654647,2,1,"(9.65, 9.663]","(49.8, 51.76]"
4731926793.3747425,9.675038017131016,40.0,0.15513712310992206,4,2,"(9.663, 9.675]","(39.902, 41.96]"
4693145635.497963,9.671464031244621,46.0,0.13041907211147755,3,1,"(9.663, 9.675]","(45.88, 47.84]"
4809603925.191404,9.682109313341336,42.0,0.1409233013080204,4,1,"(9.675, 9.688]","(41.96, 43.92]"
4828455929.178141,9.683808271818318,44.0,0.14754452198472623,3,2,"(9.675, 9.688]","(43.92, 45.88]"
4812494900.697279,9.68237028233989,48.0,0.16480506034207926,2,3,"(9.675, 9.688]","(47.84, 49.8]"
4947178069.546536,9.694357542713007,40.0,0.15852187503489967,5,1,"(9.688, 9.701]","(39.902, 41.96]"
4961402346.376068,9.695604447702499,46.0,0.21366285796329545,2,5,"(9.688, 9.701]","(45.88, 47.84]"
4984736679.921057,9.697642221528774,50.0,0.14163581452185453,2,2,"(9.688, 9.701]","(49.8, 51.76]"
5152084745.731612,9.711982998043702,42.0,0.13738348036966155,4,1,"(9.701, 9.714]","(41.96, 43.92]"
5132974128.013334,9.710369075270043,44.0,0.15124343317506284,4,1,"(9.701, 9.714]","(43.92, 45.88]"
5134731248.80322,9.71051771760882,46.0,0.12656886181894403,3,1,"(9.701, 9.714]","(45.88, 47.84]"
5109772369.654181,9.708401553597522,52.0,0.11626946446341524,2,1,"(9.701, 9.714]","(51.76, 53.72]"
5241770217.348228,9.719477978929357,40.0,0.15512204346518482,5,1,"(9.714, 9.726]","(39.902, 41.96]"
5323747159.402004,9.726217421354853,48.0,0.13602367340548174,3,1,"(9.714, 9.726]","(47.84, 49.8]"
5457433098.828799,9.736988420517214,40.0,0.18630084258758983,6,1,"(9.726, 9.739]","(39.902, 41.96]"
5460141980.323949,9.737203935831026,42.0,0.16275234370222375,4,2,"(9.726, 9.739]","(41.96, 43.92]"
5469756220.918693,9.737967970891189,44.0,0.17782017605107722,4,2,"(9.726, 9.739]","(43.92, 45.88]"
5423637642.906006,9.734290666304569,46.0,0.18576966210172083,3,3,"(9.726, 9.739]","(45.88, 47.84]"
5427599780.328528,9.734607816216325,50.0,0.17157833410321888,2,3,"(9.726, 9.739]","(49.8, 51.76]"
5542999721.137251,9.743744856743543,40.0,0.151729249063014,5,1,"(9.739, 9.752]","(39.902, 41.96]"
5517603468.7835655,9.741750486011385,44.0,0.1475332122511733,4,1,"(9.739, 9.752]","(43.92, 45.88]"
5504161793.364059,9.740691191385247,46.0,0.15415443292787914,3,2,"(9.739, 9.752]","(45.88, 47.84]"
5618631585.683284,9.749630556289542,48.0,0.22277347665870587,2,5,"(9.739, 9.752]","(47.84, 49.8]"
5598168670.732731,9.748045979457928,52.0,0.14724041581585873,2,2,"(9.739, 9.752]","(51.76, 53.72]"
5743147177.632789,9.759149945937228,40.0,0.18287060040098818,6,1,"(9.752, 9.764]","(39.902, 41.96]"
5711048651.548187,9.756715859868661,42.0,0.16630045844518804,5,1,"(9.752, 9.764]","(41.96, 43.92]"
5811589445.988818,9.76429492640379,44.0,0.20453715962314786,4,3,"(9.752, 9.764]","(43.92, 45.88]"
5796874985.438586,9.763193934540237,46.0,0.21365531814092686,3,4,"(9.752, 9.764]","(45.88, 47.84]"
5732035683.031928,9.758308885300957,48.0,0.16479752051971067,3,2,"(9.752, 9.764]","(47.84, 49.8]"
5716168741.240148,9.75710504067663,54.0,0.12070539329028404,2,1,"(9.752, 9.764]","(53.72, 55.68]"
5832126536.378293,9.765826938055922,40.0,0.1760500770863386,5,2,"(9.764, 9.777]","(39.902, 41.96]"
5910152466.85543,9.771598684715414,44.0,0.1438300284948278,4,1,"(9.764, 9.777]","(43.92, 45.88]"
5853251279.538736,9.767397168736528,46.0,0.15801670693620246,4,1,"(9.764, 9.777]","(45.88, 47.84]"
5824424976.662519,9.765253055571113,48.0,0.13201010029496155,3,1,"(9.764, 9.777]","(47.84, 49.8]"
5876498044.294425,9.769118595954625,50.0,0.20166109438063945,2,4,"(9.764, 9.777]","(49.8, 51.76]"
6035443081.823931,9.780709158597015,40.0,0.1794473953819306,6,1,"(9.777, 9.79]","(39.902, 41.96]"
6051034512.1766405,9.78182962994534,42.0,0.1627372640574865,5,1,"(9.777, 9.79]","(41.96, 43.92]"
6158523774.08261,9.78947662229379,44.0,0.2313943838912747,4,4,"(9.777, 9.79]","(43.92, 45.88]"
6146050901.227175,9.788596152736263,48.0,0.19371160832999582,3,3,"(9.777, 9.79]","(47.84, 49.8]"
6008449126.435235,9.778762388350687,50.0,0.14162827469948594,3,1,"(9.777, 9.79]","(49.8, 51.76]"
6093005361.438054,9.784831560274796,52.0,0.17835160786435844,2,3,"(9.777, 9.79]","(51.76, 53.72]"
6334380762.455221,9.801704165455707,40.0,0.17603122753041708,6,1,"(9.79, 9.803]","(39.902, 41.96]"
6297336880.289434,9.799156926800132,42.0,0.19541146128300022,6,1,"(9.79, 9.803]","(41.96, 43.92]"
6259483782.90431,9.796538518596963,44.0,0.17036756429452538,4,2,"(9.79, 9.803]","(43.92, 45.88]"
6291884766.543308,9.798780760087192,46.0,0.15414312319432624,4,1,"(9.79, 9.803]","(45.88, 47.84]"
6240139822.603355,9.795194321013314,48.0,0.16076434387103208,3,2,"(9.79, 9.803]","(47.84, 49.8]"
6331485956.11791,9.801505647901669,50.0,0.23188409535411625,2,5,"(9.79, 9.803]","(49.8, 51.76]"
6259970270.863735,9.796572270713547,54.0,0.15284501710986292,2,2,"(9.79, 9.803]","(53.72, 55.68]"
6424220801.864135,9.80782045932281,40.0,0.22511245522115655,5,4,"(9.803, 9.815]","(39.902, 41.96]"
6398318516.392871,9.806065856015147,42.0,0.159181106837329,5,1,"(9.803, 9.815]","(41.96, 43.92]"
6521168888.694159,9.814325447942181,44.0,0.20452961980077922,5,2,"(9.803, 9.815]","(43.92, 45.88]"
6466099087.255309,9.810642355505738,50.0,0.17157079428085023,3,2,"(9.803, 9.815]","(49.8, 51.76]"
6368737777.281781,9.80405336786447,56.0,0.12514132211715281,2,1,"(9.803, 9.815]","(55.68, 57.64]"
6640020467.05107,9.822169418029711,40.0,0.17262209684644755,6,1,"(9.815, 9.828]","(39.902, 41.96]"
6727237619.766218,9.827836768121434,42.0,0.184670607327789,5,2,"(9.815, 9.828]","(41.96, 43.92]"
6549765319.286205,9.816225739325384,44.0,0.17407904185547635,5,1,"(9.815, 9.828]","(43.92, 45.88]"
6679103404.710504,9.824718167187978,46.0,0.18186893499931758,4,2,"(9.815, 9.828]","(45.88, 47.84]"
6637944114.411171,9.822033591714494,48.0,0.16478998069734205,4,1,"(9.815, 9.828]","(47.84, 49.8]"
6573268833.262445,9.817781394400393,50.0,0.1374513387709791,3,1,"(9.815, 9.828]","(49.8, 51.76]"
6594338718.029674,9.819171250904368,52.0,0.20960304060891446,2,4,"(9.815, 9.828]","(51.76, 53.72]"
6842959863.819012,9.835243992725662,40.0,0.20391298799473265,7,1,"(9.828, 9.841]","(39.902, 41.96]"
6909265800.172379,9.839431900359058,44.0,0.20077642188938857,5,2,"(9.828, 9.841]","(43.92, 45.88]"
6739158264.835422,9.828605655620494,46.0,0.15027657661999405,4,1,"(9.828, 9.841]","(45.88, 47.84]"
6749478066.863485,9.82927019039471,52.0,0.1472328759934901,3,1,"(9.828, 9.841]","(51.76, 53.72]"
6810688625.444952,9.833191025438646,54.0,0.18512488162549806,2,3,"(9.828, 9.841]","(53.72, 55.68]"
6948313416.749821,9.841879399886615,40.0,0.19706356202767003,6,2,"(9.841, 9.853]","(39.902, 41.96]"
6965023304.866484,9.84292257390542,42.0,0.18823128844136766,6,1,"(9.841, 9.853]","(41.96, 43.92]"
6939583534.895262,9.841333407929781,44.0,0.17035248464978814,5,1,"(9.841, 9.853]","(43.92, 45.88]"
7133266579.502393,9.853288454476807,46.0,0.17798278488682703,4,2,"(9.841, 9.853]","(45.88, 47.84]"
7065591683.561824,9.84914853619821,48.0,0.19370406850762723,4,2,"(9.841, 9.853]","(47.84, 49.8]"
7038964991.292285,9.84750880521939,50.0,0.167374254814185,3,2,"(9.841, 9.853]","(49.8, 51.76]"
7102225261.125342,9.851394442692754,52.0,0.2409947140495267,2,5,"(9.841, 9.853]","(51.76, 53.72]"
6971977050.7200165,9.843355948896638,56.0,0.15844961840386712,2,2,"(9.841, 9.853]","(55.68, 57.64]"
7069173637.171881,9.84936864918704,58.0,0.12957725094402162,2,1,"(9.841, 9.853]","(57.64, 59.6]"
7139579134.691169,9.853672611654549,40.0,0.2004734466938764,7,1,"(9.853, 9.866]","(39.902, 41.96]"
7309789246.049641,9.863904855672342,42.0,0.1846517577718675,6,1,"(9.853, 9.866]","(41.96, 43.92]"
7337392032.42173,9.865541723786377,44.0,0.16663296461164398,5,1,"(9.853, 9.866]","(43.92, 45.88]"
7135413752.726772,9.853419161096953,48.0,0.16075303413747916,4,1,"(9.853, 9.866]","(47.84, 49.8]"
7260303042.621788,9.860954748384902,52.0,0.17834406804198985,3,2,"(9.853, 9.866]","(51.76, 53.72]"
7442904871.275536,9.871742468253712,40.0,0.19704094256056418,7,1,"(9.866, 9.879]","(39.902, 41.96]"
7559305348.328396,9.878481888457717,42.0,0.21747549480769207,7,1,"(9.866, 9.879]","(41.96, 43.92]"
7466826377.889752,9.87313605302893,46.0,0.18185762526576468,5,1,"(9.866, 9.879]","(45.88, 47.84]"
7499155134.850202,9.875012337932953,48.0,0.22275839701396863,4,3,"(9.866, 9.879]","(47.84, 49.8]"
7489811533.769488,9.874470889678943,50.0,0.17156325445848164,4,1,"(9.866, 9.879]","(49.8, 51.76]"
7383696381.986112,9.86827383017129,52.0,0.14289257724699658,3,1,"(9.866, 9.879]","(51.76, 53.72]"
7549060510.952574,9.877892906556736,54.0,0.1528374772874943,3,1,"(9.866, 9.879]","(53.72, 55.68]"
7752997613.308987,9.889469650275855,40.0,0.193615475594796,7,1,"(9.879, 9.892]","(39.902, 41.96]"
7661921133.870723,9.884337677365014,42.0,0.1810792642699113,6,1,"(9.879, 9.892]","(41.96, 43.92]"
7709553658.554628,9.887029235477947,44.0,0.1932911375692394,5,2,"(9.879, 9.892]","(43.92, 45.88]"
7642275107.045008,9.88322266739074,48.0,0.1567231247451603,4,1,"(9.879, 9.892]","(47.84, 49.8]"
7777772007.923543,9.890855208398488,52.0,0.20959550078654582,3,3,"(9.879, 9.892]","(51.76, 53.72]"
7582626553.76832,9.879819667402693,56.0,0.19189815538663763,2,3,"(9.879, 9.892]","(55.68, 57.64]"
7736024580.707525,9.88851784101919,58.0,0.16405421969787132,2,2,"(9.879, 9.892]","(57.64, 59.6]"
7958754740.760517,9.900845121566482,40.0,0.22505590655339197,8,1,"(9.892, 9.904]","(39.902, 41.96]"
8011894957.373833,9.903735246695932,42.0,0.20668940191826915,6,2,"(9.892, 9.904]","(41.96, 43.92]"
7985471758.71147,9.902300578101695,44.0,0.19701518150080471,6,1,"(9.892, 9.904]","(43.92, 45.88]"
7911122623.750542,9.89823811620384,46.0,0.17796770524208982,5,1,"(9.892, 9.904]","(45.88, 47.84]"
7971500114.941066,9.901540056695595,48.0,0.1936965286852586,5,1,"(9.892, 9.904]","(47.84, 49.8]"
7968425212.395761,9.901372500926422,50.0,0.20164601473590218,4,2,"(9.892, 9.904]","(49.8, 51.76]"
7903212273.827108,9.897803646890976,52.0,0.1739841657573379,3,2,"(9.892, 9.904]","(51.76, 53.72]"
7933109304.150965,9.899443438133725,54.0,0.25010533274493707,2,5,"(9.892, 9.904]","(53.72, 55.68]"
7819170480.303248,9.893160682096209,60.0,0.1340131797708904,2,1,"(9.892, 9.904]","(59.6, 61.56]"
8080641563.251105,9.907445842992239,40.0,0.21817757793391632,7,2,"(9.904, 9.917]","(39.902, 41.96]"
8236437940.101666,9.915739430456076,42.0,0.21026264940246223,7,1,"(9.904, 9.917]","(41.96, 43.92]"
8087142958.511814,9.907795120314036,44.0,0.2200895512228911,5,3,"(9.904, 9.917]","(43.92, 45.88]"
8227098862.27218,9.91524671610786,46.0,0.21363269867382104,6,1,"(9.904, 9.917]","(45.88, 47.84]"
8084804748.504773,9.907669535971438,48.0,0.18559800547912872,4,2,"(9.904, 9.917]","(47.84, 49.8]"
8051156361.590094,9.9058582611618,50.0,0.1673629450806321,4,1,"(9.904, 9.917]","(49.8, 51.76]"
8258141186.216629,9.916882303565403,54.0,0.1483338157230141,3,1,"(9.904, 9.917]","(53.72, 55.68]"
8200746635.323395,9.913853394437306,56.0,0.22548693306546444,2,4,"(9.904, 9.917]","(55.68, 57.64]"
8259739794.962995,9.916966366038093,40.0,0.22160002897073705,8,1,"(9.917, 9.93]","(39.902, 41.96]"
8367105516.560306,9.92257524585567,42.0,0.2324397802626833,6,3,"(9.917, 9.93]","(41.96, 43.92]"
8380525305.912065,9.923271241817478,44.0,0.19327228801331786,6,1,"(9.917, 9.93]","(43.92, 45.88]"
8364132640.587565,9.922420911354923,46.0,0.174084822385959,5,1,"(9.917, 9.93]","(45.88, 47.84]"
8465730132.487992,9.927664420074755,48.0,0.189636208676053,5,1,"(9.917, 9.93]","(47.84, 49.8]"
8453412602.128605,9.927032066947323,50.0,0.23186901570937904,4,3,"(9.917, 9.93]","(49.8, 51.76]"
8411612438.752542,9.92487925455296,52.0,0.17833652821962123,4,1,"(9.917, 9.93]","(51.76, 53.72]"
8409422988.968335,9.924766197783162,56.0,0.1584420785814985,3,1,"(9.917, 9.93]","(55.68, 57.64]"
8410796127.827251,9.924837106090184,58.0,0.19867142914777725,2,3,"(9.917, 9.93]","(57.64, 59.6]"
8567496317.657042,9.932853926440501,40.0,0.21815118855562615,8,1,"(9.93, 9.942]","(39.902, 41.96]"
8586028555.294179,9.933792328516361,42.0,0.20666678245116332,7,1,"(9.93, 9.942]","(41.96, 43.92]"
8663722152.163673,9.937704515902926,44.0,0.2275914231522512,7,1,"(9.93, 9.942]","(43.92, 45.88]"
8659737450.951572,9.93750472511995,46.0,0.20971236803325938,6,1,"(9.93, 9.942]","(45.88, 47.84]"
8533396563.359207,9.931121928601904,48.0,0.2146131269091533,4,3,"(9.93, 9.942]","(47.84, 49.8]"
8622675960.857618,9.935642065672047,50.0,0.16316967287032658,4,1,"(9.93, 9.942]","(49.8, 51.76]"
8692098560.882986,9.939124642200365,54.0,0.21753744701482083,3,3,"(9.93, 9.942]","(53.72, 55.68]"
8553948431.23221,9.932166627718923,60.0,0.1696588209918755,2,2,"(9.93, 9.942]","(59.6, 61.56]"
8620422466.06869,9.935528550069089,62.0,0.1384491085977592,2,1,"(9.93, 9.942]","(61.56, 63.52]"
8882085140.791986,9.948514931863881,40.0,0.2147093853080593,8,1,"(9.942, 9.955]","(39.902, 41.96]"
8943053233.68206,9.95148581590555,42.0,0.2030779526674085,7,1,"(9.942, 9.955]","(41.96, 43.92]"
8783640073.153137,9.94367453140405,44.0,0.18953643169337503,6,1,"(9.942, 9.955]","(43.92, 45.88]"
8783128435.120401,9.94364923345875,46.0,0.20191166781068978,5,2,"(9.942, 9.955]","(45.88, 47.84]"
8969357116.98893,9.952761315892488,48.0,0.18558292583439148,5,1,"(9.942, 9.955]","(47.84, 49.8]"
8992137658.90994,9.953862946806765,50.0,0.2016384749135336,5,1,"(9.942, 9.955]","(49.8, 51.76]"
8945069689.107277,9.951583728411144,52.0,0.20958796096417723,4,2,"(9.942, 9.955]","(51.76, 53.72]"
8835456644.60409,9.946229000148023,54.0,0.18059407670049085,3,2,"(9.942, 9.955]","(53.72, 55.68]"
8826397888.640173,9.945783501283154,56.0,0.2592159514403475,2,5,"(9.942, 9.955]","(55.68, 57.64]"
9229265844.047916,9.965167155786496,40.0,0.2393921248050775,8,2,"(9.955, 9.968]","(39.902, 41.96]"
9178432167.604939,9.962768502649048,42.0,0.2360137817291132,8,1,"(9.955, 9.968]","(41.96, 43.92]"
9178833733.56669,9.962787503069075,44.0,0.2163152418088683,6,2,"(9.955, 9.968]","(43.92, 45.88]"
9101026152.478363,9.959090362346814,46.0,0.2057990745602418,6,1,"(9.955, 9.968]","(45.88, 47.84]"
9117412668.298023,9.959871612089147,50.0,0.19321322607143035,4,2,"(9.955, 9.968]","(49.8, 51.76]"
9042078527.389416,9.956268274415132,52.0,0.17397285602378498,4,1,"(9.955, 9.968]","(51.76, 53.72]"
9274368954.885494,9.967284369097369,54.0,0.2500977929225685,3,4,"(9.955, 9.968]","(53.72, 55.68]"
9199036809.337114,9.963742356661994,56.0,0.15377505419903162,3,1,"(9.955, 9.968]","(55.68, 57.64]"
9093550663.746351,9.958733490766749,58.0,0.23342887929373946,2,4,"(9.955, 9.968]","(57.64, 59.6]"
9396079368.858149,9.972946676614672,40.0,0.24282714221251256,9,1,"(9.968, 9.981]","(39.902, 41.96]"
9314275515.948477,9.96914908020251,42.0,0.22880872747366418,7,2,"(9.968, 9.981]","(41.96, 43.92]"
9440261061.779694,9.974984004480554,44.0,0.220051852111048,7,1,"(9.968, 9.981]","(43.92, 45.88]"
9551033684.279255,9.980050376723506,46.0,0.20189281825476826,6,1,"(9.968, 9.981]","(45.88, 47.84]"
9482452712.254116,9.976920685610704,48.0,0.18153668016027397,5,1,"(9.968, 9.981]","(47.84, 49.8]"
9549974888.210085,9.980002229601952,50.0,0.19741479208634136,5,1,"(9.968, 9.981]","(49.8, 51.76]"
9485375448.859013,9.977054525750843,52.0,0.24097963440478942,4,3,"(9.968, 9.981]","(51.76, 53.72]"
9406105730.499176,9.973409856178536,54.0,0.18510980198076082,4,1,"(9.968, 9.981]","(53.72, 55.68]"
9332792031.17659,9.970011588262874,58.0,0.16404667987550267,3,1,"(9.968, 9.981]","(57.64, 59.6]"
9297174329.040848,9.968350974384853,60.0,0.2054447029089168,2,3,"(9.968, 9.981]","(59.6, 61.56]"
9427584172.70002,9.974400418624828,62.0,0.1752634222858797,2,2,"(9.968, 9.981]","(61.56, 63.52]"
9474623753.860994,9.976561972743923,64.0,0.14288503742462796,2,1,"(9.968, 9.981]","(63.52, 65.48]"
9708309614.85159,9.987143618285916,40.0,0.23936196551560301,9,1,"(9.981, 9.993]","(39.902, 41.96]"
9690968191.474424,9.986367168094079,42.0,0.2546797429759762,7,3,"(9.981, 9.993]","(41.96, 43.92]"
9840596604.357653,9.9930214291352,44.0,0.21629262234176244,7,1,"(9.981, 9.993]","(43.92, 45.88]"
9638778546.923777,9.984022002373699,46.0,0.2579860807483202,5,4,"(9.981, 9.993]","(45.88, 47.84]"
9815563150.195772,9.991915221511817,48.0,0.2186596239106831,6,1,"(9.981, 9.993]","(47.84, 49.8]"
9618675340.655722,9.983115266231609,50.0,0.2233970199685904,4,3,"(9.981, 9.993]","(49.8, 51.76]"
9683533793.646677,9.986033872496202,52.0,0.16961622099549284,4,1,"(9.981, 9.993]","(51.76, 53.72]"
9838273078.019487,9.99291887297337,56.0,0.1872039876436438,3,2,"(9.981, 9.993]","(55.68, 57.64]"
9784350818.038355,9.990532015942248,58.0,0.2683265701357579,2,5,"(9.981, 9.993]","(57.64, 59.6]"
10027437769.785038,10.001189975433258,40.0,0.2359038259862375,9,1,"(9.993, 10.006]","(39.902, 41.96]"
9879913607.798027,9.994753147034933,42.0,0.22878233809537407,8,1,"(9.993, 10.006]","(41.96, 43.92]"
9845802887.863745,9.993251136985185,44.0,0.24699050646075593,7,2,"(9.993, 10.006]","(43.92, 45.88]"
10009829060.252367,10.000426661013483,46.0,0.19799359911683875,6,1,"(9.993, 10.006]","(45.88, 47.84]"
9952015731.84043,9.997911053866648,48.0,0.2105321980521402,5,2,"(9.993, 10.006]","(47.84, 49.8]"
10117992352.856874,10.005094346834428,50.0,0.19319814642669317,5,1,"(9.993, 10.006]","(49.8, 51.76]"
10096379085.238031,10.004165648510229,52.0,0.2095804211418086,5,1,"(9.993, 10.006]","(51.76, 53.72]"
10111146184.380869,10.004800389353306,54.0,0.18058276696693792,4,1,"(9.993, 10.006]","(53.72, 55.68]"
10027437628.369549,10.001189969308466,58.0,0.19866388932540865,3,2,"(9.993, 10.006]","(57.64, 59.6]"
10048912595.263039,10.002119068778645,60.0,0.24137082552201441,2,4,"(9.993, 10.006]","(59.6, 61.56]"
10394341866.710016,10.0167969965338,40.0,0.26070720264115355,9,2,"(10.006, 10.019]","(39.902, 41.96]"
10241876190.747772,10.010379521547192,42.0,0.22517717202982054,8,1,"(10.006, 10.019]","(41.96, 43.92]"
10249064618.606453,10.0106842312928,44.0,0.21254042974002094,7,1,"(10.006, 10.019]","(43.92, 45.88]"
10309050985.741968,10.013218687531284,46.0,0.23377068457445005,7,1,"(10.006, 10.019]","(45.88, 47.84]"
10315924195.28664,10.013508142142744,48.0,0.21458296761967885,6,1,"(10.006, 10.019]","(47.84, 49.8]"
10234404717.268717,10.010062587054817,52.0,0.200828446663732,4,2,"(10.006, 10.019]","(51.76, 53.72]"
10319915892.020378,10.0136761577776,56.0,0.25920841161797886,3,4,"(10.006, 10.019]","(55.68, 57.64]"
10208816814.730677,10.00897541097921,58.0,0.15921629267504916,3,1,"(10.006, 10.019]","(57.64, 59.6]"
10321394167.843168,10.013738363813147,60.0,0.16965128116950687,3,1,"(10.006, 10.019]","(59.6, 61.56]"
10243738138.828197,10.010458468047513,62.0,0.21221797667005643,2,3,"(10.006, 10.019]","(61.56, 63.52]"
10358767375.516895,10.015308080326214,64.0,0.18086802357988385,2,2,"(10.006, 10.019]","(63.52, 65.48]"
10383468503.072983,10.016342449863643,66.0,0.14732096625149674,2,1,"(10.006, 10.019]","(65.48, 67.44]"
10548752901.999357,10.02320111936889,40.0,0.2641547864192029,10,1,"(10.019, 10.031]","(39.902, 41.96]"
10634541557.695822,10.026718772729168,42.0,0.2510285839939741,8,2,"(10.019, 10.031]","(41.96, 43.92]"
10667492924.782085,10.028062363485498,44.0,0.23943987701341204,7,2,"(10.019, 10.031]","(43.92, 45.88]"
10453922931.69559,10.019279294072167,46.0,0.2259410816994674,6,2,"(10.019, 10.031]","(45.88, 47.84]"
10744353711.751915,10.031180297178665,48.0,0.3107477470645932,6,4,"(10.019, 10.031]","(47.84, 49.8]"
10696264618.785118,10.029232138556155,50.0,0.18898853793458897,5,1,"(10.019, 10.031]","(49.8, 51.76]"
10723058950.1852,10.030318693535891,52.0,0.20519337549662964,5,1,"(10.019, 10.031]","(51.76, 53.72]"
10712791083.76571,10.029902635571231,54.0,0.2129832686404709,4,2,"(10.019, 10.031]","(53.72, 55.68]"
10476050310.148254,10.02019757541254,56.0,0.19188307574190042,4,1,"(10.019, 10.031]","(55.68, 57.64]"
10730230427.484987,10.030609048369556,58.0,0.23342133947137084,3,3,"(10.019, 10.031]","(57.64, 59.6]"
10865500015.51503,10.036049716757086,40.0,0.26067327344049473,10,1,"(10.031, 10.044]","(39.902, 41.96]"
10832231739.145273,10.034717942511257,42.0,0.25462696421939585,9,1,"(10.031, 10.044]","(41.96, 43.92]"
10914301583.385426,10.037995950014338,44.0,0.2431890536862061,8,1,"(10.031, 10.044]","(43.92, 45.88]"
10756025612.835041,10.03165182771821,46.0,0.2298410548196338,7,1,"(10.031, 10.044]","(45.88, 47.84]"
10825759123.387972,10.034458359671056,48.0,0.21051334849621867,6,1,"(10.031, 10.044]","(47.84, 49.8]"
11036756950.884033,10.042841478715314,50.0,0.26221717773417486,6,2,"(10.031, 10.044]","(49.8, 51.76]"
10792282366.65225,10.033113299587745,52.0,0.2321809130280274,4,3,"(10.031, 10.044]","(51.76, 53.72]"
10828021572.78561,10.03454911234897,54.0,0.17606276912065905,4,1,"(10.031, 10.044]","(53.72, 55.68]"
10972168811.234598,10.040292480779346,56.0,0.29307767068891816,3,5,"(10.031, 10.044]","(55.68, 57.64]"
10914236548.469564,10.03799336218139,58.0,0.1938138985867967,3,2,"(10.031, 10.044]","(57.64, 59.6]"
